Rank,Release,Theaters,Total Gross,Release Date,Distributor
289,Raise Hell: The Life & Times of Molly Ivins,42,694410,8/30/2020,Magnolia Pictures
290,Spirits in the Forest,388,704744,11/21/2020,Trafalgar Releasing
291,The Sky Is Pink,194,652592,10/11/2020,-
292,Racetime,86,1875283,12/7/2020,Entertainment One
293,Dirty Dancing2019 Re-release,650,622968,2/10/2020,Fathom Events
294,American Masters: Miles Davis: Birth of the Cool,31,614201,8/23/2020,Abramorama
295,Roger Waters - Us + Them,497,611644,10/2/2020,Trafalgar Releasing
296,The Muppet Movie2019 Re-release,727,610475,7/25/2020,Fathom Events
297,The White Storm 2: Drug Lords,54,609461,7/12/2020,CMC Pictures
298,The Least of These: The Graham Staines Story,625,607015,1/31/2020,Fathom Events
299,The Chaperone,128,600654,3/28/2020,PBS Distribution
300,Furie,27,594788,3/1/2020,Well Go USA Entertainment
301,To Kill a Mockingbird2019 Re-release,668,592237,3/24/2020,Fathom Events
302,Bethany Hamilton: Unstoppable,205,590671,7/12/2020,Entertainment Studios Motion Pictures
303,The Public,263,573503,4/5/2020,Greenwich Entertainment
304,My Fair Lady2019 Re-release,652,560711,2/17/2020,Fathom Events
305,Fiddler: A Miracle of Miracles,77,549386,8/23/2020,Roadside Attractions
306,Everybody's Everything,121,547207,11/12/2020,Gunpowder & Sky
307,"DCI 2019: Big, Loud & Live 16",513,546060,8/8/2020,Fathom Events
308,La femme de mon frère,30,539524,6/7/2020,Entertainment One
309,Grateful Dead Meet-Up 2019,503,537153,8/1/2020,Trafalgar Releasing
310,Code Geass: Lelouch of the Re;Surrection2019 Re-release,490,522805,5/5/2020,FUNimation Entertainment
311,Shadow,53,521396,5/3/2020,Well Go USA Entertainment
312,Long Day's Journey Into Night,24,521365,4/12/2020,Kino Lorber
313,The Spy Behind Home Plate,31,519525,5/24/2020,Ciesla Foundation
314,Wild Nights with Emily,78,519487,4/12/2020,Greenwich Entertainment
315,Saving Private Ryan2019 Re-release,642,508694,6/2/2020,Fathom Events
316,Birds of Passage,97,507259,2/13/2020,The Orchard
317,Tel Aviv on Fire,37,506145,8/2/2020,Cohen Media Group
318,Widows,2803,42402632,11/16/2020,Twentieth Century Fox
319,Whisper of the Heart2019 Re-release,745,498156,7/1/2020,Fathom Events
320,Nausicaä of the Valley of the Wind2019 Re-release,751,495770,5/20/2020,Fathom Events
321,Crazy Rich Asians,3865,174532921,8/15/2020,Warner Bros.
322,Batla House,81,493180,8/15/2020,Viva Pictures
323,The Climbers,102,487157,9/30/2020,Well Go USA Entertainment
324,The Russian Five,44,485049,3/21/2020,-
325,The Great Alaskan Race,447,485603,10/25/2020,-
326,Exit,19,470699,8/2/2020,CJ Entertainment
327,Lawrence of Arabia2019 Re-release,661,482281,9/1/2020,Fathom Events
328,CatVideoFest,103,470923,2/15/2020,Oscilloscope
329,Panipat,175,461863,12/6/2020,Reliance Entertainment
330,Christmas Jars,789,459462,11/4/2020,Fathom Events
331,Gorillaz: Reject False Icons,284,453687,12/16/2020,Trafalgar Releasing
332,Cruel Intentions2019 Re-release,708,445218,3/22/2020,Sony Pictures Entertainment (SPE)
333,Teen Spirit,696,441366,4/12/2020,Bleecker Street Media
334,At Eternity's Gate,178,2294915,11/16/2020,CBS Films
335,Merci pour tout,76,1073969,12/25/2020,-
336,Les Misérables: The Staged Concert,488,459478,12/6/2020,Trafalgar Releasing
337,De De Pyaar De,104,425934,5/17/2020,Yash Raj Films
338,Hail Satan?,67,424284,4/17/2020,Magnolia Pictures
339,Ben-Hur2019 Re-release,649,422622,4/14/2020,Fathom Events
340,Killing Sarai,160,425332,12/6/2020,Pantelion Films
341,Fate/stay night [Heaven's Feel] II. lost butterfly,515,420595,3/14/2020,Fathom Events
342,Ash Is Purest White,49,422814,3/15/2020,Cohen Media Group
343,The Cold Blue,702,420177,5/23/2020,Fathom Events
344,The Reliant,722,408747,10/24/2020,Fathom Events
345,The Invisibles,19,407373,1/25/2020,Greenwich Entertainment
346,Monos,50,406473,9/13/2020,Neon
347,Meet Me in St. Louis75th Anniversary,679,403521,12/8/2020,Fathom Events
348,"Hello, Dolly!",669,400881,8/11/2020,Fathom Events
349,The Nightingale,79,400209,8/2/2020,IFC Films
350,Mia and the White Lion,312,399471,4/12/2020,-
351,The Man Who Killed Don Quixote,756,391963,4/10/2020,Screen Media Films
352,The Wedding Guest,96,386166,3/1/2020,IFC Films
353,The Secret World of Arrietty2019 Re-release,750,384289,9/29/2020,Fathom Events
354,What We Left Behind: Star Trek DS9,795,382457,5/13/2020,Fathom Events
355,The Cure: Anniversary 1978-2018 Live in Hyde Park,346,378405,7/11/2020,Trafalgar Releasing
356,The Hummingbird Project,232,371784,3/15/2020,The Orchard
357,Ghostbusters2019 Re-release,546,369612,10/6/2020,Fathom Events
358,Matthias & Maxime,53,374739,10/9/2020,Entertainment One
359,The Shawshank Redemption2019 Re-release,669,358507,9/22/2020,Fathom Events
360,The Tomorrow Man,207,354103,5/22/2020,Bleecker Street Media
361,Star Trek: The Motion Picture2019 Re-release,627,346243,9/15/2020,Fathom Events
362,Photograph,123,344534,5/17/2020,Amazon Studios
363,Diane,64,336166,3/29/2020,IFC Films
364,Millennium Actress2019 Re-release,512,225250,8/13/2020,Fathom Events
365,A Silent Voice: The Movie2019 Re-release,581,333984,1/28/2020,Fathom Events
366,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,288,328979,3/16/2020,Fathom Events
367,P Storm,30,326711,4/4/2020,CMC Pictures
368,National Theatre Live: Fleabag,399,326283,11/18/2020,Fathom Events
369,Sword of Trust,78,322421,7/12/2020,IFC Films
370,Lucy in the Sky,231,319976,10/4/2020,Fox Searchlight Pictures
371,You Are Here: A Come From Away Story,781,318885,9/11/2020,Fathom Events
372,Josh Groban Bridges Live from Madison Square Garden,390,315173,2/8/2020,Trafalgar Releasing
373,Bolshoi Ballet: The Sleeping Beauty,355,311368,3/10/2020,Fathom Events
374,DanTDM Presents The Contest,684,307484,11/2/2020,Fathom Events
375,K-12,81,303230,9/5/2020,Abramorama
376,Aquarela,69,307346,8/16/2020,Sony Pictures Classics
377,Ask Dr. Ruth,110,297195,5/3/2020,Magnolia Pictures
378,Line Walker 2: Invisible Spy,17,296751,8/16/2020,Well Go USA Entertainment
379,Junglee,70,295784,3/29/2020,Viva Pictures
380,The Giant Spider Invasion,685,293053,8/15/2020,Fathom Events
381,Stockholm,122,292590,4/12/2020,-
382,The Godfather: Part II45th Anniversary,681,291754,11/10/2020,Fathom Events
383,Killerman,322,291477,8/30/2020,Blue Fox Entertainment
384,The Bravest,150,290217,8/9/2020,Sony Pictures Entertainment (SPE)
385,Saga of Tanya the Evil - The Movie,518,288460,5/16/2020,Fathom Events
386,Khalid: Free Spirit,382,284229,4/3/2020,Trafalgar Releasing
387,Mike Wallace Is Here,39,281245,7/26/2020,Magnolia Pictures
388,The Whistleblower,133,280851,12/6/2020,CMC Pictures Holdings
389,Octaman,668,280710,4/18/2020,Fathom Events
390,The Nutcracker and the Four Realms,3766,54858851,11/2/2020,-
391,I Want to Eat Your Pancreas,427,277019,2/7/2020,Fathom Events
392,Freaks,111,276591,9/13/2020,Well Go USA Entertainment
393,True Grit2019 Re-release,614,276418,5/5/2020,Fathom Events
394,The Tale of The Princess Kaguya2019 Re-release,737,271681,12/16/2020,Fathom Events
395,Shakira in Concert: El Dorado World Tour,500,271586,11/13/2020,Trafalgar Releasing
396,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,614,271489,7/23/2020,Fathom Events
397,One Child Nation,36,270128,8/9/2020,Amazon Studios
398,Just Mercy,2457,36001502,12/25/2020,Warner Bros.
399,Slayer: The Repentless Killogy,494,268727,11/6/2020,Trafalgar Releasing
400,Luzia: Cirque du Soleil in Cinema,784,265673,10/29/2020,Fathom Events
401,Out of Liberty,36,265279,9/13/2020,Purdie Distribution
402,Modest Heroes,370,178027,1/10/2020,Fathom Events
403,Smallfoot,4131,83240103,9/28/2020,Warner Bros.
404,Star Raiders: The Adventures of Saber Raine,665,260234,6/6/2020,Fathom Events
405,Mobile Suit Gundam Narrative,449,259224,2/19/2020,Fathom Events
406,Her Smell,69,255599,4/12/2020,Gunpowder & Sky
407,Lords of Chaos,75,253184,2/8/2020,Gunpowder & Sky
408,Bolshoi Ballet: The Nutcracker,401,252935,12/15/2020,Fathom Events
409,When Harry Met Sally...30th Anniversary,660,252320,12/1/2020,Fathom Events
410,I Got the Hook Up 2,40,252293,7/12/2020,-
411,Canal Street,73,251917,1/18/2020,-
